epoch,loss,validation_accuracy
1,13.73188835,0.38054061
2,11.35390002,0.447027927
3,10.00684071,0.544901358
4,9.1121867,0.620163976
5,8.662338316,0.607161158
6,8.205555201,0.649948757
7,6.927485138,0.676210607
8,5.927482218,0.68210351
9,5.088206202,0.695362542
10,4.758378297,0.688829106
11,3.947305754,0.708621573
12,2.938744307,0.721111965
13,2.559806526,0.726620548
14,1.982217811,0.730976172
15,1.655940622,0.724058417
16,1.443286344,0.740968486
17,1.050793558,0.734691263
18,0.816615652,0.72879836
19,0.683993209,0.74007174
20,0.549845885,0.744235204
21,0.392716845,0.74417115
22,0.370291079,0.740904432
23,0.314154511,0.743466564
24,0.270671571,0.745260056
25,0.27570272,0.737189342
26,0.302222454,0.742697925
27,0.269085018,0.745580323
28,0.235428669,0.746797335
29,0.235718746,0.751921599
30,0.198210381,0.746733282
31,0.117809937,0.743658724
32,0.096031007,0.748142455
33,0.104326577,0.748911094
34,0.105954579,0.748462721
35,0.147563632,0.746861389
36,0.171254564,0.751473226
37,0.172088935,0.748398668
38,0.164757354,0.746156802
39,0.149151837,0.746605176
40,0.122509506,0.747694081
41,0.13040433,0.749295414
42,0.158952083,0.745708429
43,0.145692582,0.746733282
44,0.115609342,0.746028696
45,0.097604205,0.746989495
46,0.09203186,0.748526774
47,0.097639877,0.745708429
48,0.096880111,0.745836536
49,0.071899856,0.74493979
50,0.067862779,0.747822188
51,0.072093616,0.747437868
52,0.07221627,0.746220856
53,0.093377513,0.747373815
54,0.130953764,0.748270561
55,0.163215699,0.745644376
56,0.164386339,0.748078401
57,0.193897076,0.74532411
58,0.197291538,0.749167307
59,0.179556886,0.749487574
60,0.154894012,0.752305919
61,0.113225829,0.749295414
62,0.07820647,0.745644376
63,0.057325779,0.746092749
64,0.044571985,0.746669229
65,0.042696035,0.748654881
66,0.038451103,0.748590828
67,0.032121536,0.748718934
68,0.046461788,0.750128107
69,0.030663469,0.745708429
70,0.033546,0.748526774
71,0.02442466,0.748078401
72,0.035349504,0.748718934
73,0.047783142,0.747886241
74,0.070935131,0.748270561
75,0.096992612,0.745900589
76,0.144422322,0.746477069
77,0.175571537,0.747886241
78,0.265710657,0.742761978
79,0.253771368,0.742569818
80,0.185762853,0.746733282
81,0.153986739,0.743146298
82,0.169985658,0.747950295
83,0.15278528,0.747694081
84,0.12212343,0.750256213
85,0.076141329,0.747822188
86,0.058374644,0.75
87,0.047783574,0.749679734
88,0.037201831,0.748975147
89,0.043176443,0.748398668
90,0.034399286,0.74980784
91,0.04366213,0.749871893
92,0.042761206,0.745900589
93,0.040093805,0.747181655
94,0.041894337,0.741609019
95,0.03903524,0.74551627
96,0.046255395,0.747630028
97,0.045386842,0.745644376
98,0.06569414,0.74942352
99,0.074232094,0.743146298
100,0.077979374,0.745644376
101,0.099081557,0.746092749
102,0.143089169,0.744299257
103,0.157079813,0.747501922
104,0.114233048,0.745003843
105,0.064475946,0.746156802
106,0.055610905,0.745260056
107,0.048044894,0.747181655
108,0.047304384,0.746284909
109,0.058289359,0.747822188
110,0.050967374,0.748975147
111,0.047136149,0.75038432
112,0.049123217,0.748782987
113,0.050177897,0.749935947
114,0.037731028,0.751601332
115,0.028632856,0.751152959
116,0.025335049,0.749743787
117,0.021807411,0.748398668
118,0.020203152,0.750128107
119,0.02194716,0.748975147
120,0.020998645,0.748398668
121,0.026485093,0.746989495
122,0.030015109,0.746092749
123,0.075127119,0.75076864
124,0.133312298,0.751409172
125,0.174739387,0.749103254
126,0.144803643,0.750448373
127,0.097688735,0.746028696
128,0.072914482,0.751024853
129,0.060932231,0.750128107
130,0.061895939,0.747437868
131,0.05510743,0.749487574
132,0.042349512,0.747053549
133,0.047554185,0.746605176
134,0.053830539,0.748526774
135,0.056314549,0.744107097
136,0.059686526,0.749039201
137,0.074048629,0.750640533
138,0.067609724,0.745644376
139,0.090620316,0.748782987
140,0.090914768,0.748270561
141,0.083822196,0.749871893
142,0.066591903,0.751537279
143,0.047601418,0.75019216
144,0.034278089,0.751088906
145,0.041826141,0.752626185
146,0.04388752,0.750896746
147,0.057915501,0.74513195
148,0.088341937,0.748398668
149,0.089550029,0.748847041
150,0.070155106,0.749871893
151,0.069969144,0.748142455
152,0.076843684,0.752177812
153,0.085003235,0.74436331
154,0.057351403,0.750064053
155,0.044956259,0.752241865
156,0.037733413,0.749743787
157,0.022207088,0.751024853
158,0.013854047,0.751345119
159,0.01014064,0.752434025
160,0.011454528,0.752369972
161,0.009046702,0.752049705
162,0.010366483,0.753266718
163,0.016711653,0.751152959
164,0.022295419,0.75076864
165,0.039080871,0.750128107
166,0.06581005,0.748270561
167,0.087190576,0.749487574
168,0.104706359,0.751793492
169,0.192768654,0.753715091
170,0.177960383,0.750064053
171,0.095300038,0.75019216
172,0.060876454,0.751345119
173,0.036731737,0.753266718
174,0.040093753,0.752177812
175,0.0438128,0.753138611
176,0.028230486,0.751537279
177,0.019252708,0.752562132
178,0.014909109,0.75038432
179,0.014848673,0.751601332
180,0.013092413,0.75019216
181,0.022801345,0.748142455
182,0.038608924,0.74961568
183,0.051753062,0.747694081
184,0.057483422,0.747117602
185,0.054273583,0.750896746
186,0.049086648,0.74961568
187,0.047154411,0.74493979
188,0.044548442,0.750960799
189,0.052411168,0.747501922
190,0.038310412,0.747565975
191,0.037254556,0.748526774
192,0.023292937,0.747245708
193,0.023590879,0.750256213
194,0.029647247,0.749935947
195,0.043734879,0.74923136
196,0.05767166,0.746861389
197,0.0973104,0.746925442
198,0.112538761,0.746092749
199,0.102340139,0.751409172
200,0.113464248,0.749103254
201,0.070329207,0.749679734
202,0.018382253,0.752562132
203,0.009978749,0.752498078
204,0.004626259,0.752434025
205,0.003183401,0.753330771
206,0.001867844,0.752882398
207,0.001749711,0.752562132
208,0.000639099,0.752305919
209,0.000640382,0.751857545
210,0.000454942,0.752690238
211,0.000499771,0.752241865
212,0.000860939,0.752369972
213,0.000494117,0.753586984
214,0.000692334,0.751537279
215,0.000352348,0.751152959
216,0.000354173,0.751409172
217,0.000404037,0.751281066
218,0.000367336,0.751345119
219,0.000250146,0.751729439
220,0.000286484,0.751601332
221,0.000396262,0.751473226
222,0.000311046,0.751665386
223,0.000374613,0.751409172
224,0.000323954,0.751729439
225,0.00025117,0.751665386
226,0.00020796,0.751601332
227,0.000281856,0.751409172
228,0.000243344,0.751537279
229,0.00021366,0.751473226
230,0.000201815,0.751281066
231,0.000219913,0.751537279
232,0.000252697,0.751281066
233,0.000249485,0.751152959
234,0.000274492,0.751793492
235,0.000181301,0.751473226
236,0.000263331,0.751473226
237,0.000258008,0.751473226
238,0.000202972,0.752113759
239,0.00027859,0.752049705
240,0.000272464,0.751665386
241,0.000274216,0.751601332
242,0.000205357,0.751793492
243,0.000188187,0.751921599
244,0.000196183,0.751793492
245,0.000225092,0.751921599
246,0.000218074,0.751601332
247,0.000243203,0.751921599
248,0.000200696,0.751985652
249,0.000179559,0.751601332
250,0.000216305,0.751793492
251,0.000159331,0.751921599
252,0.000177241,0.752049705
253,0.000146156,0.751793492
254,0.000196642,0.751729439
255,0.000209542,0.751473226
256,0.000189326,0.751537279
257,0.00016824,0.751537279
258,0.000201456,0.751793492
259,0.000170941,0.751409172
260,0.000137357,0.751601332
261,0.000228831,0.751537279
262,0.000152001,0.751921599
263,0.000192706,0.751793492
264,0.000149056,0.751793492
265,0.000236324,0.751537279
266,0.000212468,0.751601332
267,0.00016784,0.751857545
268,0.000152661,0.751985652
269,0.000248994,0.751537279
270,0.000225222,0.751537279
271,0.000161894,0.751601332
272,0.000146708,0.751473226
273,0.000168919,0.751793492
274,0.000159361,0.751473226
275,0.000167625,0.751793492
276,0.000223802,0.751921599
277,0.000114786,0.752049705
278,0.000204239,0.751985652
279,0.00016991,0.751473226
280,0.000182871,0.751985652
281,0.00019693,0.751409172
282,0.000221783,0.751601332
283,0.000156049,0.751473226
284,0.000175988,0.751857545
285,0.000159988,0.751921599
286,0.000158841,0.751729439
287,0.000150638,0.751985652
288,0.000191717,0.751409172
289,0.000167029,0.751729439
290,0.000171125,0.751537279
291,0.000153493,0.751857545
292,0.000205239,0.751409172
293,0.000172258,0.751857545
294,0.000135964,0.751537279
295,0.000236354,0.751281066
296,0.000122819,0.751665386
297,0.000184492,0.750896746
298,0.000170668,0.751729439
299,0.000181645,0.751473226
300,0.000162918,0.751985652
301,0.000175216,0.751985652
302,0.000187491,0.751409172
303,0.000129048,0.751729439
304,0.00016535,0.751601332
305,0.000145389,0.751601332
306,0.000121404,0.751537279
307,0.00015152,0.751665386
308,0.000154858,0.751601332
309,0.000175784,0.751537279
310,0.000144019,0.751729439
311,0.000164738,0.751921599
312,0.000156655,0.751409172
313,0.000176819,0.751665386
314,0.000190859,0.751409172
315,0.000179705,0.751729439
316,0.000159511,0.751345119
317,0.000217223,0.751473226
318,0.000232083,0.751345119
319,0.000174937,0.751857545
320,0.000163832,0.751665386
321,0.000149338,0.751793492
322,0.00012788,0.751729439
323,0.000173343,0.751729439
324,0.000177764,0.751857545
325,0.000161796,0.751473226
326,0.000149914,0.751281066
327,0.000155152,0.751537279
328,0.000144209,0.751729439
329,0.000173093,0.751857545
330,0.000125337,0.751985652
331,0.000139419,0.751857545
332,0.000160726,0.751793492
333,0.000139173,0.751345119
334,0.000125026,0.751537279
335,0.000168874,0.751537279
336,0.000155176,0.751088906
337,0.000119623,0.751601332
338,0.000155159,0.751601332
339,0.000126683,0.751793492
340,0.000187987,0.751665386
341,0.000236167,0.751537279
342,0.000181341,0.751601332
343,0.000184212,0.751729439
344,0.000151813,0.751921599
345,0.0001907,0.751473226
346,0.00018322,0.751537279
347,0.00014833,0.751345119
348,0.000182533,0.751473226
349,0.000176911,0.751473226
350,0.000143794,0.751537279
351,0.000166313,0.751665386
352,0.000131902,0.751857545
353,0.000183216,0.751601332
354,0.000148828,0.751729439
355,0.000214915,0.751665386
356,0.000178478,0.751857545
357,0.000198365,0.751537279
358,0.000276921,0.751217013
359,0.000156251,0.751473226
360,0.000124117,0.751601332
361,0.000139303,0.751601332
362,0.000194166,0.751601332
363,0.000129317,0.751857545
364,0.000129599,0.751665386
365,0.000151232,0.751665386
366,0.00015655,0.751345119
367,0.000205655,0.751024853
368,0.000103139,0.751857545
369,0.000172024,0.751537279
370,0.000196236,0.751473226
371,0.000163579,0.751473226
372,0.000130541,0.751729439
373,0.000126073,0.751345119
374,0.00016974,0.751601332
375,0.000184342,0.751601332
376,0.000206251,0.751793492
377,0.000130368,0.751281066
378,0.000161585,0.751985652
379,0.000143417,0.751665386
380,0.000145183,0.751345119
381,0.000179123,0.751729439
382,0.000573412,0.752049705
383,0.000172393,0.751921599
384,0.000144379,0.751985652
385,0.000186331,0.751729439
386,0.000200158,0.751985652
387,0.000182937,0.752049705
388,0.000195789,0.751921599
389,0.000194248,0.752177812
390,0.000133283,0.751409172
391,0.000161284,0.751601332
392,0.000183843,0.751473226
393,0.000180135,0.751665386
394,0.000163265,0.751665386
395,0.000128865,0.751793492
396,0.000172419,0.751345119
397,0.000134101,0.751665386
398,0.00015613,0.751409172
399,0.00016466,0.751345119
400,0.000181662,0.751473226
